Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
174.1,209.4,95.9,191.3,137.1,145.3,1963,Nov,158.85000000000002
58.9,79.2,16.4,41.0,22.9,29.8,1963,Dec,41.36666666666667
78.5,49.6,14.8,48.5,46.2,48.5,1964,Jan,47.68333333333334
29.8,126.8,28.3,22.7,46.3,20.4,1964,Feb,45.71666666666666
44.5,194.4,106.6,38.0,88.7,74.8,1964,Mar,91.16666666666667
59.5,103.4,62.3,64.9,60.9,62.1,1964,Apr,68.85000000000001
84.4,147.4,45.4,55.2,76.5,82.0,1964,May,81.81666666666666
71.9,112.2,51.0,101.1,76.7,106.0,1964,Jun,86.48333333333335
74.5,97.8,47.4,76.1,51.6,69.5,1964,July,69.48333333333333
86.0,108.6,81.3,100.4,101.5,99.4,1964,Aug,96.19999999999999
144.5,102.8,51.7,132.4,56.3,68.5,1964,Sep,92.7
120.3,148.1,62.3,115.3,122.2,96.4,1964,Oct,110.76666666666667
99.1,112.4,26.2,94.7,56.8,74.8,1964,Nov,77.33333333333333
146.8,182.4,111.8,147.9,162.6,148.7,1964,Dec,150.03333333333333
166.6,181.1,97.3,107.1,153.7,127.7,1965,Jan,138.91666666666666
17.9,2.3,4.7,15.9,10.1,4.7,1965,Feb,9.266666666666667
84.7,106.2,54.6,87.5,87.2,65.8,1965,Mar,81.0
84.7,89.8,45.4,73.6,77.8,95.8,1965,Apr,77.85000000000001
63.0,84.3,51.9,46.7,98.8,94.3,1965,May,73.16666666666667
106.8,134.0,72.9,105.3,85.6,99.2,1965,Jun,100.63333333333334
35.3,64.0,79.2,64.0,96.7,69.3,1965,July,68.08333333333333
108.3,98.8,55.4,110.0,81.6,87.2,1965,Aug,90.21666666666668
91.8,156.9,67.7,98.8,63.7,49.9,1965,Sep,88.13333333333333
94.4,63.6,41.4,112.6,66.2,26.9,1965,Oct,67.51666666666667
126.7,155.3,182.3,97.9,205.1,87.9,1965,Nov,142.53333333333333
136.0,222.8,97.1,113.8,140.5,159.4,1965,Dec,144.9333333333333
77.6,175.5,94.6,54.1,74.7,73.1,1966,Jan,91.60000000000001
114.5,240.9,114.5,104.5,114.4,93.7,1966,Feb,130.41666666666666
84.8,65.6,40.2,100.2,53.4,47.8,1966,Mar,65.33333333333333
96.6,149.5,151.8,56.6,117.0,116.5,1966,Apr,114.66666666666667
