Belmullet,Valentia,DublinAirport,MalinHead,Mullingar,ShannonAirport,Year,Category,Month
127.8,109.5,57.7,130.0,94.3,97.3,1974,total,11
118.4,93.3,37.9,132.8,85.9,88.5,1974,total,12
210.7,209.9,82.6,155.4,154.2,125.5,1975,total,01
28.7,80.4,26.2,17.3,31.7,41.7,1975,total,02
42.7,74.4,43.3,60.0,29.8,43.9,1975,total,03
60.9,97.2,42.8,62.5,53.2,58.0,1975,total,04
14.9,29.4,43.4,15.7,32.0,28.6,1975,total,05
29.4,18.0,14.9,29.3,18.9,15.7,1975,total,06
87.8,80.9,27.8,85.1,55.2,75.7,1975,total,07
70.4,34.7,35.9,58.3,34.4,37.6,1975,total,08
139.8,160.2,124.3,122.0,122.9,145.0,1975,total,09
104.8,213.9,55.1,91.8,81.6,81.7,1975,total,10
95.8,126.9,54.3,101.2,73.9,83.9,1975,total,11
62.0,74.2,33.1,65.3,50.5,73.5,1975,total,12
133.2,96.3,66.1,144.6,89.6,126.0,1976,total,01
51.8,81.7,29.3,48.7,52.9,57.9,1976,total,02
114.0,189.6,65.8,65.7,71.4,59.0,1976,total,03
30.2,34.4,17.7,21.3,27.5,21.4,1976,total,04
116.3,125.6,47.7,114.6,122.0,65.3,1976,total,05
59.2,111.5,22.5,54.2,35.6,34.4,1976,total,06
59.6,73.7,82.8,93.0,47.9,59.5,1976,total,07
12.0,16.4,6.6,19.4,7.7,13.5,1976,total,08
63.8,171.3,144.3,67.0,107.3,93.1,1976,total,09
102.6,187.6,156.7,136.5,139.2,136.3,1976,total,10
136.2,169.6,39.1,123.9,65.5,85.8,1976,total,11
116.3,189.3,48.0,93.3,52.7,111.6,1976,total,12
109.6,173.1,57.8,68.2,75.4,50.5,1977,total,01
82.9,191.6,124.4,151.1,137.3,102.6,1977,total,02
135.1,206.8,57.3,64.4,94.1,67.9,1977,total,03
68.0,74.7,43.4,88.9,93.2,75.2,1977,total,04
20.4,37.6,22.5,30.9,18.1,22.1,1977,total,05
44.2,55.3,65.5,43.5,83.9,44.3,1977,total,06
63.7,58.8,26.1,79.1,41.2,71.4,1977,total,07
140.4,50.0,68.1,57.1,76.0,93.1,1977,total,08
64.4,81.7,29.2,120.6,60.9,70.4,1977,total,09
180.0,313.1,76.5,99.5,91.9,88.3,1977,total,10
125.0,146.3,53.8,161.0,107.9,145.7,1977,total,11
70.1,152.8,65.1,63.2,76.2,71.4,1977,total,12
115.0,165.2,59.4,162.6,96.2,89.5,1978,total,01
68.8,129.8,50.3,58.0,71.6,68.9,1978,total,02
153.8,201.9,63.0,133.3,116.0,120.2,1978,total,03
25.4,66.1,29.6,25.4,37.8,80.0,1978,total,04
38.5,23.7,27.3,30.9,11.8,16.7,1978,total,05
67.4,88.8,37.1,55.7,57.9,46.3,1978,total,06
60.5,97.5,50.5,39.5,79.2,82.1,1978,total,07
80.0,179.5,116.7,76.1,60.0,94.6,1978,total,08
122.2,42.2,38.4,168.2,87.8,45.6,1978,total,09
70.1,59.6,31.8,70.2,41.9,46.6,1978,total,10
164.5,165.3,64.1,149.6,98.4,90.6,1978,total,11
146.3,290.1,217.0,124.7,158.6,114.7,1978,total,12
120.7,128.3,42.3,143.0,57.0,75.3,1979,total,01
42.9,149.1,83.4,24.2,44.8,64.7,1979,total,02
121.6,120.5,63.7,96.6,85.9,94.2,1979,total,03
63.6,49.0,53.1,53.3,62.0,81.9,1979,total,04
123.4,127.9,82.2,82.8,108.8,112.8,1979,total,05
49.0,77.3,44.0,68.5,31.9,65.9,1979,total,06
53.0,38.7,47.0,68.0,44.9,21.8,1979,total,07
118.2,155.4,96.5,84.6,114.6,117.6,1979,total,08
84.6,99.0,41.5,83.2,66.6,70.1,1979,total,09
146.3,176.4,119.0,111.7,105.7,94.7,1979,total,10
158.8,181.8,51.4,202.9,109.9,155.5,1979,total,11
131.2,270.5,112.4,120.6,143.6,159.5,1979,total,12
91.7,134.5,115.2,75.3,72.4,73.3,1980,total,01
86.3,202.4,68.5,80.6,93.0,82.6,1980,total,02
90.9,147.2,73.7,88.8,85.6,76.4,1980,total,03
12.6,24.1,8.2,22.0,28.4,25.4,1980,total,04
28.4,51.1,41.0,19.9,31.7,28.0,1980,total,05
78.6,85.1,79.0,74.3,104.3,75.0,1980,total,06
103.4,160.8,39.4,110.2,56.9,100.4,1980,total,07
39.3,146.2,97.8,97.9,99.1,114.1,1980,total,08
160.1,223.0,97.5,154.4,119.7,122.5,1980,total,09
139.5,181.8,113.7,151.9,124.9,127.8,1980,total,10
161.1,272.4,41.4,95.1,84.5,103.5,1980,total,11
165.5,147.1,49.7,113.5,107.1,116.5,1980,total,12
79.6,59.2,32.8,150.5,65.8,67.2,1981,total,01
69.6,158.0,48.4,73.5,61.8,77.3,1981,total,02
163.5,215.2,101.6,102.0,105.5,106.7,1981,total,03
43.0,30.5,49.0,36.8,32.5,15.6,1981,total,04
114.0,152.6,92.3,115.5,136.2,141.4,1981,total,05
69.4,89.3,77.1,77.6,109.6,60.8,1981,total,06
72.0,63.3,35.5,86.4,55.4,34.8,1981,total,07
55.6,53.2,11.6,71.5,30.0,27.2,1981,total,08
179.9,242.6,102.8,129.2,132.3,126.3,1981,total,09
160.5,121.2,109.3,153.3,75.1,83.9,1981,total,10
113.5,72.2,48.8,112.2,76.5,68.9,1981,total,11
86.7,148.6,133.0,74.7,66.3,66.4,1981,total,12
78.9,187.5,50.2,99.9,85.6,76.2,1982,total,01
111.0,232.9,23.9,63.1,81.7,85.4,1982,total,02
135.5,164.8,45.4,126.6,108.3,118.2,1982,total,03
26.3,33.8,19.5,22.9,27.9,16.1,1982,total,04
74.9,94.6,59.6,81.9,71.1,72.5,1982,total,05
71.4,92.2,102.2,102.3,108.9,131.2,1982,total,06
24.8,22.3,9.2,16.5,24.3,22.3,1982,total,07
98.4,136.4,65.6,169.6,83.9,89.6,1982,total,08
94.9,146.2,84.0,111.8,80.2,74.8,1982,total,09
160.8,279.0,88.2,92.5,112.7,129.5,1982,total,10
138.5,194.9,128.9,139.1,138.7,133.2,1982,total,11
155.9,199.0,70.3,134.7,111.7,144.9,1982,total,12
137.2,192.2,63.8,149.8,146.9,134.2,1983,total,01
46.0,37.9,44.8,41.7,47.5,72.0,1983,total,02
87.5,124.8,61.0,106.2,98.4,72.0,1983,total,03
55.9,101.5,67.1,49.7,75.9,56.1,1983,total,04
87.8,118.9,79.1,52.9,113.8,88.7,1983,total,05
32.4,88.5,54.6,45.9,44.8,47.4,1983,total,06
38.5,20.3,18.1,24.3,14.8,12.6,1983,total,07
44.3,74.7,45.4,39.1,61.6,46.3,1983,total,08
109.5,204.8,76.6,69.2,116.3,106.1,1983,total,09
157.7,143.7,47.3,186.2,121.2,145.7,1983,total,10
42.5,90.7,21.3,28.1,41.3,44.6,1983,total,11
150.4,234.7,123.2,130.4,119.4,129.8,1983,total,12
195.7,247.7,99.0,183.8,125.6,193.8,1984,total,01
87.6,104.5,60.3,108.8,67.0,94.6,1984,total,02
47.5,51.2,53.2,42.4,73.0,34.5,1984,total,03
30.5,90.3,32.6,36.6,41.3,46.0,1984,total,04
39.4,41.3,34.4,28.1,16.7,27.5,1984,total,05
72.4,42.7,38.1,59.5,52.0,33.4,1984,total,06
49.3,79.3,30.8,44.9,42.6,35.2,1984,total,07
51.9,115.1,95.0,64.5,116.8,65.0,1984,total,08
92.9,104.6,76.7,117.7,107.7,82.3,1984,total,09
200.4,206.4,56.2,119.4,103.2,96.2,1984,total,10
245.1,240.7,97.2,113.1,119.1,105.7,1984,total,11
129.4,186.6,87.7,101.5,126.8,89.9,1984,total,12
84.2,110.5,66.5,106.2,56.1,34.1,1985,total,01
28.8,110.7,52.0,33.6,43.8,33.6,1985,total,02
104.9,196.0,72.5,100.7,70.2,91.1,1985,total,03
82.0,70.8,40.2,77.9,55.8,56.3,1985,total,04
118.8,131.6,70.1,56.4,110.8,71.4,1985,total,05
56.4,112.6,78.5,53.7,65.7,74.6,1985,total,06
80.4,66.5,107.2,152.3,105.1,94.8,1985,total,07
224.8,272.9,124.6,180.8,180.0,181.4,1985,total,08
205.5,117.7,38.2,218.9,107.1,69.1,1985,total,09
70.1,94.6,19.7,30.4,66.9,53.3,1985,total,10
87.7,168.3,33.5,74.8,55.9,46.9,1985,total,11
152.2,164.5,72.4,90.1,106.3,90.7,1985,total,12
124.7,161.4,103.4,182.7,106.8,137.9,1986,total,01
4.2,20.1,10.2,9.9,9.3,0.8,1986,total,02
163.1,182.1,64.7,123.5,99.5,128.8,1986,total,03
96.0,77.3,48.2,69.6,75.8,56.4,1986,total,04
150.9,182.4,62.5,98.9,115.5,106.4,1986,total,05
95.6,56.6,82.1,42.1,98.7,91.5,1986,total,06
93.5,98.5,57.5,76.2,71.6,40.8,1986,total,07
114.7,205.9,158.7,83.9,162.7,113.7,1986,total,08
24.8,13.4,3.6,29.3,3.6,10.0,1986,total,09
169.3,127.3,57.0,89.2,101.6,96.4,1986,total,10
180.3,196.7,102.2,137.8,112.2,109.0,1986,total,11
226.7,247.9,71.8,218.9,124.3,155.9,1986,total,12
57.8,78.3,36.6,38.1,33.6,39.0,1987,total,01
70.1,141.8,34.5,73.6,48.2,52.6,1987,total,02
117.1,127.5,56.6,100.2,93.5,69.6,1987,total,03
50.6,49.5,71.8,40.1,48.2,53.7,1987,total,04
41.8,10.3,21.7,45.6,28.8,20.9,1987,total,05
81.5,121.3,112.5,74.8,130.2,109.2,1987,total,06
97.6,58.5,32.6,121.6,41.6,41.7,1987,total,07
101.2,65.7,87.4,82.1,73.4,37.7,1987,total,08
126.7,199.7,75.3,93.0,107.6,102.6,1987,total,09
140.2,205.5,124.1,166.4,118.8,104.2,1987,total,10
91.5,94.2,47.8,68.4,72.8,69.6,1987,total,11
106.6,191.4,39.5,49.2,56.1,56.6,1987,total,12
220.5,269.9,118.3,180.1,138.7,173.1,1988,total,01
126.6,96.9,34.3,122.5,78.3,97.1,1988,total,02
116.3,103.1,85.4,122.8,125.4,110.5,1988,total,03
45.4,52.5,24.9,29.8,20.7,32.5,1988,total,04
66.6,147.0,72.5,32.3,88.8,62.4,1988,total,05
34.0,51.8,38.1,38.2,43.7,45.0,1988,total,06
140.2,142.5,80.3,147.3,131.9,133.1,1988,total,07
146.9,187.5,54.5,121.4,83.0,111.2,1988,total,08
119.3,58.4,41.1,125.6,79.7,80.9,1988,total,09
126.5,266.4,79.1,112.9,93.8,115.1,1988,total,10
75.4,86.1,23.5,53.8,37.5,47.3,1988,total,11
65.2,106.2,40.5,81.9,73.3,70.9,1988,total,12
142.6,185.4,27.5,78.2,63.7,84.2,1989,total,01
152.4,128.6,42.6,136.2,100.6,94.3,1989,total,02
134.2,195.2,54.7,135.4,104.9,126.6,1989,total,03
62.7,95.0,79.3,114.9,65.6,58.1,1989,total,04
33.2,20.7,13.1,27.3,20.7,23.8,1989,total,05
85.8,83.2,67.8,49.2,43.1,56.8,1989,total,06
24.7,24.9,9.6,57.8,24.0,16.8,1989,total,07
167.2,123.0,81.9,137.1,90.3,69.1,1989,total,08
60.9,91.2,25.1,44.4,53.6,51.5,1989,total,09
259.5,204.4,62.1,188.5,137.1,129.5,1989,total,10
88.3,77.9,35.6,63.5,35.3,53.2,1989,total,11
91.2,144.2,55.9,46.1,73.6,77.7,1989,total,12
214.9,196.2,68.3,158.7,113.5,125.8,1990,total,01
236.0,201.1,108.8,200.2,191.4,204.5,1990,total,02
94.5,50.8,10.3,71.8,30.7,32.6,1990,total,03
90.5,61.2,24.2,68.8,43.2,55.5,1990,total,04
19.6,49.7,39.5,26.2,43.9,22.2,1990,total,05
113.9,128.7,71.3,115.7,99.2,72.6,1990,total,06
77.5,63.5,48.0,55.5,59.1,46.4,1990,total,07
77.9,80.2,49.8,95.2,75.1,67.7,1990,total,08
54.2,28.3,16.4,66.9,15.2,25.8,1990,total,09
225.8,210.1,149.2,250.4,172.9,157.8,1990,total,10
96.1,122.6,64.0,69.3,61.3,66.4,1990,total,11
145.8,141.6,78.7,132.1,116.6,144.4,1990,total,12
121.3,145.9,71.4,110.9,84.3,85.3,1991,total,01
86.3,152.6,59.0,48.3,92.4,92.3,1991,total,02
87.9,143.2,91.1,67.1,92.5,72.0,1991,total,03
140.3,167.7,92.3,111.2,126.0,97.4,1991,total,04
19.6,7.6,3.6,18.4,4.5,10.1,1991,total,05
84.8,107.0,79.8,114.4,78.9,86.4,1991,total,06
